Keyword,Results,Free,Paid,Avg-Rating,Avg-Reviews,Top-3
delivery time,442,242,200,4.63,529.0,Estimated Delivery Date ‑ ETA|Delivery Time Guru|Delivery Timer Countdown Timer
description,555,274,281,4.77,207.0,Advanced Product Descriptions|Product Description Writing|Product Description Icons
design,1709,928,781,4.81,318.0,MyPack‑Print on Demand Designs|Super Effects ‑ Holiday Boost|Animify – Storefront Animation
dhgate,49,15,34,4.57,129.0,Editorify ‑ Product Reviews|Importify ‑ Easy Dropshipping|Ryviu Product Reviews App & QA
dhl,113,84,29,4.46,266.0,Post & DHL Shipping (official)|Post & DHL Shipping + Returns|DHL Parcel
digital downloads,103,61,42,4.74,38.0,Digital Downloads|Digital Downloads by Uplinkly|DrDownload Digital Downloads
digital download,103,61,42,4.74,38.0,Digital Downloads|Digital Downloads by Uplinkly|DrDownload Digital Downloads
digital,308,183,125,4.71,47.0,Digital Downloads|Easy Digital Products|Digital Downloads by Uplinkly
digital salesperson,83,45,38,4.01,96.0,Product Recommendation Quiz|Extra Verification|Digital Downloads
digital products,1303,634,669,4.63,102.0,Easy Digital Products|Kable Digital Products|Digital Downloads
discount,1183,659,524,4.78,504.0,Unlimited Bundles & Discounts|Discount Spin Wheel Exit Popup|Bulk Discount Code Generator
discounts,1183,659,524,4.76,507.0,Unlimited Bundles & Discounts|QD (Quantity Breaks/Discounts)|Discount Spin Wheel Exit Popup
discount code,571,289,282,4.73,130.0,"Bulk Discount Code Generator|Discount Code, Discount Pop Up|Dcode ‑ Discount codes in Cart"
discounted upsells,351,184,167,4.71,382.0,Discounted Upsells & BOGO|Booster: Discounted Upsells|Discounted Upsell & Cross Sell
discounted pricing,413,192,221,4.62,288.0,Volume & Discounted Pricing|BD Bulk Discount Price Editor|Bulk Discount & Price Editor
discounted upsell,351,184,167,4.71,382.0,Discounted Upsells & BOGO|Booster: Discounted Upsells|Discounted Upsell & Cross Sell
discount ninja,230,116,114,4.61,213.0,Discount Ninja|Quantity Breaks+Bulk Discounts|Giveaway Ninja • Giveaways
discount app,916,439,477,4.27,227.0,Bulk Discount & Price Editor|Booster: Discounted Pricing |BOGO Discount App
doba,0,3,0,4.95,22.0,EasyTeam POS & Web Time Clock |Stylorian Marketplace|PriceWhiz
donation,79,52,27,4.73,34.0,Shop for Good Donation App|Change Commerce ‑ Donation App|Easy Donation
donate,79,52,27,4.73,37.0,Shop for Good Donation App|Change Commerce ‑ Donation App|Easy Donation
donations,79,52,27,4.73,37.0,Shop for Good Donation App|Change Commerce ‑ Donation App|Easy Donation
download,444,256,188,4.74,46.0,Digital Downloads|Digital Downloads by Uplinkly|DrDownload Digital Downloads
downloads,444,256,188,4.74,46.0,Digital Downloads|Digital Downloads by Uplinkly|DrDownload Digital Downloads
dpd,39,24,15,4.28,52.0,DPD Integration|DPD Shipping Service / Versand|DPD Shipping Benelux
drip,84,51,33,4.56,354.0,"Drip: Email Marketing |Returns For Sale Widget|ONE+ Sales Pop Ups, SMS, Email"
dripshipper,142,109,33,4.4,556.0,Dripshipper: US Dropshipping|DropCommerce: US Dropshipping|Importify ‑ Easy Dropshipping
drift,0,4,8,4.5,7.0,Aero • Chat & Menu|Dumb Reports|Custom & Draft Orders For POS
dropshipping,343,260,83,4.5,736.0,DSers‑AliExpress Dropshipping|Spocket ‑ US & EU Dropshipping|EPROLO‑Dropshipping & Branding
dropified,79,53,26,4.5,429.0,Dropified ‑ Dropshipping|Private Label On Demand|Spocket ‑ US & EU Dropshipping
drop shipping,791,473,318,4.5,521.0,DSers‑AliExpress Dropshipping|Spocket ‑ US & EU Dropshipping|EPROLO‑Dropshipping & Branding
dropwow,0,7,6,4.35,101.0,Dropdown Tagger|Exportiphi : Dropbox Sync|Excel CSV Bulk Tracking Import
dropify,79,53,26,4.5,429.0,Dropified ‑ Dropshipping|Private Label On Demand|Spocket ‑ US & EU Dropshipping
dropshipper,183,133,50,4.56,490.0,AmaZone DropShipper + Walmart|MY ONLINE FASHION STORE|Dripshipper: US Dropshipping
dropshipmate,145,111,34,4.4,556.0,Dropshipmate ‑ Dropshipping|DropCommerce: US Dropshipping|Importify ‑ Easy Dropshipping
dsers,100,53,47,4.21,660.0,DSers‑AliExpress Dropshipping|Ali Orders AliExpress Dropship|AutoDS All‑In‑One Dropshipping
duplicate,143,66,77,4.44,490.0,Duplicate Store|Duplicate Finder|Bees Store Duplicator & COPY
duplicate store,656,315,341,4.58,218.0,Duplicate Store|Bees Store Duplicator & COPY|Rewind Copy (formerly Replay)
dymo,0,3,7,4.01,72.0,Retail Barcode Labels|Multi‑Label Barcodes|Barcode Man ‑ Label Printing
easy contact form,771,391,380,4.63,275.0,Contact Form Builder ‑ FREE|Contact Us Form with Captcha|Form Builder ‑ Contact Us
easyship,0,6,3,4.69,148.0,Easyship ‑ All in one shipping|HK EasyShip: SF Express|Returns & Shipping Automation
easy tabs,533,266,267,4.78,260.0,Easy Tabs ‑ Product Tabs|Product Tabs ‑ Easy Tabs|POWR Product + Size Chart Tabs
easy gdpr,352,192,160,4.77,332.0,Easy GDPR + Cookie Bar|GDPR Cookie Consent Bar|GDPR/CCPA Compliance Manager
easy contact,488,243,245,4.7,232.0,Contact Form Builder ‑ FREE|Contact Us Form with Captcha|Form Builder ‑ Contact Us
ebay,136,69,67,4.27,216.0,"eBay|eBay Marketplace Integration|Amazon, eBay, Google & Walmart"
ebay importer,323,183,140,4.4,347.0,Multichannel Importer|eBay Marketplace Integration|eBay Professional Importer
ecomhunt,0,0,4,4.78,49.0,Hop|Emojix|AutoDS All‑In‑One Dropshipping
edit order,668,329,339,4.42,430.0,Edit Order by Cleverific|Edit Orders ‑ Cart Pencil|Order Merger | Combine orders
editorify,0,3,2,4.78,249.0,Editorify ‑ Product Reviews|Ryviu Product Reviews App & QA|Importify ‑ Easy Dropshipping
edit orders,668,329,339,4.42,430.0,Edit Orders ‑ Cart Pencil|Edit Order by Cleverific|Order Merger | Combine orders
editor,479,232,247,4.58,188.0,Zipify Pages Builder & Editor|BD Bulk Discount Price Editor|Ablestar Bulk Product Editor
edit,1028,519,509,4.74,376.0,Bulk Image Edit ‑ Image SEO|Swap Photo Editor|SEO Suite: Image Optimizer
email marketing,712,415,297,4.52,1531.0,Omnisend Email Marketing|Seguno: Email Marketing|SmartrMail Email Marketing
email,1975,1023,952,4.67,1638.0,"Shopify Email|Automizely Email, Sales Pop Up|Privy ‑ Pop Ups, Email, & SMS"
email pop up,513,287,226,4.65,1384.0,Email Pop up Spin Wheel Popups|Spin Wheel Email Pop Ups|Popup | Email Pop Up & Sign Up
email capture,296,179,117,4.73,729.0,Age Verify with Email Capture|Email Pop Up in One Click|Dynamic Banner Suite
email popup,371,219,152,4.7,257.0,"Spin Wheel Pop ups Email Popup|MailMunch ‑ Email Popup|Cross sell, Exit & Email Popup"
emails,1975,1023,952,4.67,1643.0,"Shopify Email|Automizely Email, Sales Pop Up|Privy ‑ Pop Ups, Email, & SMS"
email template,368,216,152,4.85,508.0,Seguno: Email Marketing|OrderlyEmails|Spently Email Marketing
epacket,25,17,8,4.15,314.0,ParcelPanel Order Tracking Pro|Order Tracking at your store|Order Lookup
eprolo,26,19,7,4.45,257.0,EPROLO‑Dropshipping & Branding|EPROLO ‑ Print On Demand|Spocket ‑ US & EU Dropshipping
erp,76,34,42,4.58,128.0,Katana ‑ Manufacturing ERP|Fulfil.IO Retail ERP|banma ERP
etsy,360,191,169,4.28,150.0,Etsy Marketplace Integration|Etsy Integration: Sync & Sell|Shuttle ‑ Transfer from Etsy
events,397,222,175,4.43,303.0,Event Ticketing|Events Calendar|Virtual Events & Appointments
event,397,222,175,4.43,303.0,Event Ticketing|Event Calendar|Events Calendar
excelify,0,3,1,4.97,117.0,Matrixify (Excelify)|Ablestar Bulk Product Editor|EasyTeam POS & Web Time Clock 
exchange,175,98,77,4.69,376.0,AfterShip Returns Center|Return & Exchange Portal|Exchange It
excel,257,133,124,4.62,379.0,DataChamp Excel & CSV Exports|Excel Like Product Bulk Edit|Bulk Product Edit & CSV import
exchange marketplace,90,52,38,4.36,91.0,Exchange It|Etsy Marketplace Integration|Walmart Marketplace
exit intent,532,265,267,4.46,264.0,"Exit Intent Popup by OptiMonk|Pop Up, Email & Exit Pop Ups|Abandonment Protector"
exit popup,265,151,114,4.63,1412.0,"Discount Spin Wheel Exit Popup|Privy ‑ Pop Ups, Email, & SMS|Best Exit Popup & Email Popup!"
exit,229,129,100,4.45,1334.0,"Pop Up, Email & Exit Pop Ups|Exit Intent Popup by OptiMonk|Pop up, SMS & Email Marketing"
exit pop up,388,211,177,4.67,1518.0,"Pop Up, Email & Exit Pop Ups|Abandonment Protector|Popup | Email Pop Up & Sign Up"
export,722,408,314,4.63,119.0,Data Export Reports|Xporter Data Export Tool|Exportible ‑ Order Export
export orders,825,425,400,4.64,45.0,EXPORT Orders Pro|Exportible ‑ Order Export|Amazon Integration — Salestio
exportify,0,4,5,4.77,132.0,Exportify|Importify ‑ Easy Dropshipping|Reviews Importify | Q & A
export orderpro,320,185,135,4.8,181.0,Data Export Reports|ExIm ‑ Export / Import data|Super Reports ‑ Auto Export
filter,631,307,324,4.7,219.0,Product Filter & Search|Smart Product Filter & Search|Filters & Instant Search
filters,631,307,324,4.8,252.0,Product Filter & Search|Smart Product Filter & Search|Filters & Instant Search
file upload,172,77,95,4.53,291.0,Upload‑Lift|Upload Fields by UploadKit|Uploadery
filter menu,133,58,75,4.63,285.0,Filter Menu by Power Tools|Smart Product Filter & Search|Product Filter & Search
findify,0,5,7,4.63,139.0,Findify Search & Personalize|Fontify ‑ Use any font|Flair Product Badges & Banners
finance,134,61,73,4.77,149.0,Data Export Reports|Report Pundit|BeProfit Profit Calc & Reports
firepush,0,13,3,4.76,550.0,SMS {Email} Web push Firepush|GemPages Flexible Page Builder|PushOwl Web Push Notification
flash sale,771,406,365,4.57,706.0,Daily Deals: BFCM Flash Sales|Disco: Flash Sales & Discounts|Sales Manager & Bulk Discounts
flexify,0,9,13,4.31,171.0,Flexify: Facebook Product Feed|Power Editor|Facebook Feed
flow,260,138,122,4.77,1103.0,Shopify Flow|Recart FB Messenger Marketing|Ultimate Sales Boost
fomo,66,41,25,4.88,831.0,Sales Pop up ‑ Conversion Pro|Fomo Social Proof|Stock Countdown Timer Bar
font,405,212,193,4.79,686.0,Fontify ‑ Use any font|FontBox ‑ Add Fonts Easily|FontPicker — Easy Google Fonts
fonts,405,212,193,4.79,686.0,Fontify ‑ Use any font|FontBox ‑ Add Fonts Easily|FontPicker — Easy Google Fonts
fontify,59,28,31,4.77,72.0,Fontify ‑ Use any font|FontBox ‑ Add Fonts Easily|FontPicker — Easy Google Fonts
footer,182,103,79,4.57,406.0,Insert code Header & Footer|CRO ‑ Add Header Footer Code|Custom Payment Icons
food,92,43,49,4.75,28.0,Elfsight Restaurant Menu|Foodlify|Product Video Maker 
form,819,425,394,4.61,221.0,Form Builder ‑ Contact Form|Contact Us Form with Captcha|Nerdy Contact Form Builder
form builder,478,232,246,4.44,194.0,Form Builder ‑ Contact Form|Nerdy Contact Form Builder|Contact Form Builder ‑ FREE
forms,817,423,394,4.61,221.0,Form Builder ‑ Contact Form|Contact Us Form with Captcha|Nerdy Contact Form Builder
forum,104,38,66,4.08,161.0,Shopicial ‑ social forum|Chatigy Forums|Champ Forum
foursixty,0,2,7,4.64,246.0,Shoppable Instagram & UGC.|AMP by Shop Sheriff|Shoppable Instagram ‑ Cameo
fraud,91,48,43,4.32,42.0,NoFraud Fraud Protection|Fraud Filter|FraudBlock Fraud Prevention
fraud filter,137,63,74,4.53,187.0,Fraud Filter|Disputify ‑ Fraud Filter|ClearSale
frequently bought together,85,35,50,4.85,322.0,Frequently Bought Together|Frequently Bought Together PRO|Zoorix ‑ Upsell & Cross Sell
free shipping,984,632,352,4.72,1591.0,Free Shipping Bar|Ultimate Free Shipping Bar|AVADA Free Shipping Bar
free shipping bar,978,646,332,4.85,1719.0,Free Shipping Bar|Ultimate Free Shipping Bar|AVADA Free Shipping Bar
free gift,374,276,98,4.31,393.0,Free Gifts BOGO buy x get y|Gift Box — Free Gifts Purchase|Sales Motivator ‑ Free Gifts
free trust badge,362,269,93,4.73,694.0,Trust Me ‑ Free Trust Badges|Free Trust Badge|Free Trust Badge Master
free gifts,374,276,98,4.31,393.0,Free Gifts BOGO buy x get y|Gift Box — Free Gifts Purchase|Sales Motivator ‑ Free Gifts
frequently bought,78,34,44,4.85,322.0,Frequently Bought Together|Frequently Bought Together PRO|Zoorix ‑ Upsell & Cross Sell
free traffic,339,266,73,4.52,401.0,Free Traffic & Ads by Varinode|Automizely Free Traffic & Ads|Unite Free Ads & Free Traffic
free product,1515,824,691,4.53,361.0,FREE product FAQ | Help center|Product Labels & Badges by BSS|Sales Manager & Bulk Discounts
free trust,337,259,78,4.7,826.0,Trust Me ‑ Free Trust Badges|Free Trust Badge|Free Trust Badge Master
fulfillment,892,551,341,4.32,82.0,ShipBob Fulfillment|Easy Fulfillment|Auto Fulfill
fulfill,892,551,341,4.32,82.0,ShipBob Fulfillment|Easy Fulfillment|Auto Fulfill
funnel,165,83,82,4.44,935.0,Prehook: Quiz Funnels|Upsell Wizard: Upsell Funnels|Honeycomb Upsell & Cross Sell
funnels,165,83,82,4.44,935.0,Prehook: Quiz Funnels|Upsell Wizard: Upsell Funnels|Honeycomb Upsell & Cross Sell
gallery,182,79,103,4.43,120.0,Image Gallery + Video ‑ EA|Cozy Image Gallery|Instagram Feed + Photo Gallery
game,151,96,55,4.53,170.0,Discount Spin Wheel Exit Popup|Gamify ‑ Game Maker|ClawCrane: Game & Email Popup
gdpr,181,120,61,4.54,403.0,Booster: EU Cookie Bar GDPR|GDPR/CCPA + Cookie Management|Ultimate GDPR EU Cookie Banner
gearlaunch,0,2,0,3.85,18.0,GearLaunch ‑ Print on Demand|InkGo POD Product Personalizer
gempages,25,19,6,4.72,1019.0,GemPages Flexible Page Builder|SEO Suite: Image Optimizer|Ali Reviews ‑ Product Reviews
gempage,25,19,6,4.72,1019.0,GemPages Flexible Page Builder|SEO Suite: Image Optimizer|Ali Reviews ‑ Product Reviews
geo,414,214,200,4.78,964.0,GeoIP Country Redirect/Blocker|Geo Shipping Bar|Translate & Currency Converter
geolocation,73,38,35,4.54,511.0,Geolocation|GeoIP: Geolocation Redirects|Geolocation Redirect
getresponse,30,11,19,4.54,172.0,"GetResponse Email Marketing|Pop Up, Email & Exit Pop Ups|GetResponse"
get response,371,168,203,4.63,119.0,GetResponse Email Marketing|GetResponse|GetResponse Custom Popup
gift card,508,270,238,4.33,302.0,Gift Cards & Loyalty Program|Shopkeeper Branded Gift Cards|Shopkeeper Gift Cards
gift cards,508,270,238,4.33,302.0,Gift Cards & Loyalty Program|Shopkeeper Branded Gift Cards|Shopkeeper Gift Cards
gift,254,126,128,4.35,97.0,Super Gift Options|Gift Cards & Loyalty Program|Wrapin ‑ Gift Wrap
gift wrap,85,38,47,4.81,351.0,Wrapin ‑ Gift Wrap|Super Gift Options|Gifty ‑ Gift Wrap & Options
gift with purchase,141,73,68,4.09,91.0,Gift Box — Free Gifts Purchase|Active Cart ‑ Gift w/ Purchase|Ultimate Special Offers
gift wizard,76,38,38,4.79,100.0,Wizard Labs: Invoice Wizard|Variant Image Wizard|Gifty ‑ Gift Wrap & Options
giftwizard,0,1,0,3.1,21.0,Shopify Flow
gift certificate,111,55,56,4.56,139.0,Super Gift Options|Shopkeeper Gift Cards|Shopkeeper Gift Card Scheduler
giftcard,0,1,2,4.97,379.0,Gift Cards & Loyalty Program|Returns & Shipping Automation|Reconcile.ly Xero Sync Payouts
giveaway,29,22,7,4.25,257.0,Social Boost Giveaways Contest|Giveaway Ninja • Giveaways|Free Gifts BOGO buy x get y
gleam,0,2,0,4.85,32.0,Gleam Competitions|Arena ‑ Contests & Giveaways
globo,0,10,8,4.54,144.0,Globo Pre‑Order ‑ Preorder NOW|Globo Request a Quote|Globo Sticky Add To Cart
google shopping,899,497,402,4.75,735.0,"Feed For Google Shopping|Facebook, Google Shopping Feed|Google Shopping Feed"
google,991,522,469,4.75,655.0,"Google channel|Feed For Google Shopping|Facebook, Google Shopping Feed"
google shopping feed,955,512,443,4.72,451.0,"Facebook, Google Shopping Feed|Google Shopping Feed|App for Google Shopping Feed"
google analytics,430,220,210,4.57,465.0,Google Analytics by Littledata|Google Analytics Toolkit|Really Simple Google Analytics
gooten,0,4,8,4.42,117.0,Gooten: Print on Demand|Advanced Shipping Rules|Podify Dynamic Print on Demand
google ads,311,162,149,4.74,592.0,"Clever ‑ Google Ads & Shopping|Facebook, Instagram,Google ads|Tracking for Google Ads"
google tag manager,550,241,309,4.75,56.0,Google Tag Manager App|Simple Google Tag Manager|Easy Tag ‑ GTM & Data Layer
google reviews,375,192,183,4.78,148.0,Reputon for Google Reviews|Show Facebook / Google Reviews|Revit ‑ Google Reviews
google merchant,182,93,89,4.78,418.0,App for Google Shopping Feed|Google Merchant Center Sync|Clever ‑ Google Ads & Shopping
google adwords,213,107,106,4.63,426.0,Clever ‑ Google Ads & Shopping|Google Ads & Google Shopping|GDPR Legal Cookie
gorgias,35,23,12,4.71,619.0,Gorgias ‑ Live Chat & Helpdesk|Smile: Rewards & Loyalty |Whatsapp Chat + Abandoned Cart
gtranslate,28,18,10,4.54,264.0,Translate your shop GTranslate|Tantum Translate|Translate & Currency Converter
hatchful,31,16,15,4.61,97.0,AfterSell Post Purchase Upsell|UpliftHero — One Click Upsell|Catch Marketplace Integration
hats,178,107,71,4.35,104.0,ThisNew|Apliiq ‑ Print On Demand|BF Size Charts & Size Guides
header,168,81,87,4.49,478.0,All Announcement Bars & Banner|Simple Header Bar|Insert code Header & Footer
heatmap,0,8,14,4.07,192.0,Lucky Orange Heatmaps & Replay|Replay Live Session Recordings|Reactflow Recordings & Heatmap
heat map,106,41,65,4.02,95.0,Lucky Orange Heatmaps & Replay|Reactflow Recordings & Heatmap|HeatMap by Webyze
header bar,249,164,85,4.59,81.0,Simple Header Bar|Header Bar ‑ Top Bar|Elegant Header Bars
help center,269,142,127,4.76,185.0,Easy FAQ | Help Center Support|FREE product FAQ | Help center|HelpCenter | FAQ & HelpDesk
help,3101,1650,1451,4.66,712.0,Easy FAQ | Help Center Support|FREE product FAQ | Help center|HelpCenter | FAQ & HelpDesk
hextom,33,20,13,4.75,1413.0,Free Shipping Bar|Ultimate Sales Boost|Quick Announcement Bar
hide paypal,70,18,52,3.57,129.0,Hide PayPal in Cart|CoverUp ‑ Hide Paypal button|HideOut
hide price,247,84,163,4.78,52.0,Request Quote & Hide Prices|Request a Quote & Hide Prices|Request a Quote & Hide Prices
holiday,172,89,83,4.83,1299.0,Super Effects ‑ Holiday Boost|Women's Day & Holidays Effects|Gratisfaction
home page,463,217,246,4.77,1309.0,DataCue: Personalized Homepage|Buy Me ‑ Buy Button|Shogun Landing Page Builder
hotjar,0,6,7,4.56,299.0,Hotjar Install|Hotjar 1‑click install|Hotjar Install by Enkomion
hover,109,54,55,4.77,829.0,"Hover Image Slider, Quick View|Second Image On Hover|Product Back Image On Hover"
html,235,113,122,4.51,675.0,SEO HTML Sitemap|HTML Popup|Code Customizer
hubspot,54,30,24,4.73,227.0,"HubSpot|Pop Up, Email & Exit Pop Ups|HubSpot Integration by Groove"
hulk,110,58,52,4.7,252.0,Hulk Mobile App Builder|Contact Us Form with Captcha|Stackable Discounts
hulk apps,829,392,437,4.48,512.0,Infinite Product Options|Free Trust Badge Master|Contact Us Form with Captcha
hurrify,0,4,16,4.26,46.0,Hurrify ‑ Countdown Timer|Scarcity: Cart Countdown Timer|Scarcity: Low Stock! Countdown
hurry,0,5,6,4.35,113.0,Hurry Up ‑ Countdown Timer|Ultimate Scarcity Pro|Buy Me ‑ Buy Button
hypervisual,0,0,1,4.9,118.0,Hypervisual Page Builder
gift card,508,270,238,4.33,302.0,Gift Cards & Loyalty Program|Shopkeeper Branded Gift Cards|Shopkeeper Gift Cards
gift cards,508,270,238,4.33,302.0,Gift Cards & Loyalty Program|Shopkeeper Branded Gift Cards|Shopkeeper Gift Cards
gift,254,126,128,4.35,97.0,Super Gift Options|Gift Cards & Loyalty Program|Wrapin ‑ Gift Wrap
gift wrap,85,38,47,4.81,351.0,Wrapin ‑ Gift Wrap|Super Gift Options|Gifty ‑ Gift Wrap & Options
gift with purchase,141,73,68,4.09,91.0,Gift Box — Free Gifts Purchase|Active Cart ‑ Gift w/ Purchase|Ultimate Special Offers
gift wizard,76,38,38,4.79,100.0,Wizard Labs: Invoice Wizard|Variant Image Wizard|Gifty ‑ Gift Wrap & Options
giftwizard,0,1,0,3.1,21.0,Shopify Flow
gift certificate,111,55,56,4.56,139.0,Super Gift Options|Shopkeeper Gift Cards|Shopkeeper Gift Card Scheduler
giftcard,0,1,2,4.97,379.0,Gift Cards & Loyalty Program|Returns & Shipping Automation|Reconcile.ly Xero Sync Payouts
giveaway,29,22,7,4.25,257.0,Social Boost Giveaways Contest|Giveaway Ninja • Giveaways|Free Gifts BOGO buy x get y
gleam,0,2,0,4.85,32.0,Gleam Competitions|Arena ‑ Contests & Giveaways
globo,0,10,8,4.54,144.0,Globo Pre‑Order ‑ Preorder NOW|Globo Request a Quote|Globo Sticky Add To Cart
google shopping,899,497,402,4.75,735.0,"Feed For Google Shopping|Facebook, Google Shopping Feed|Google Shopping Feed"
google,991,522,469,4.75,655.0,"Google channel|Feed For Google Shopping|Facebook, Google Shopping Feed"
google shopping feed,955,512,443,4.72,451.0,"Facebook, Google Shopping Feed|Google Shopping Feed|App for Google Shopping Feed"
google analytics,430,220,210,4.57,465.0,Google Analytics by Littledata|Google Analytics Toolkit|Really Simple Google Analytics
gooten,0,4,8,4.42,117.0,Gooten: Print on Demand|Advanced Shipping Rules|Podify Dynamic Print on Demand
google ads,311,162,149,4.74,592.0,"Clever ‑ Google Ads & Shopping|Facebook, Instagram,Google ads|Tracking for Google Ads"
google tag manager,550,241,309,4.75,56.0,Google Tag Manager App|Simple Google Tag Manager|Easy Tag ‑ GTM & Data Layer
google reviews,375,192,183,4.78,148.0,Reputon for Google Reviews|Show Facebook / Google Reviews|Revit ‑ Google Reviews
google merchant,182,93,89,4.78,418.0,App for Google Shopping Feed|Google Merchant Center Sync|Clever ‑ Google Ads & Shopping
google adwords,213,107,106,4.63,426.0,Clever ‑ Google Ads & Shopping|Google Ads & Google Shopping|GDPR Legal Cookie
gorgias,35,23,12,4.71,619.0,Gorgias ‑ Live Chat & Helpdesk|Smile: Rewards & Loyalty |Whatsapp Chat + Abandoned Cart
gtranslate,28,18,10,4.54,264.0,Translate your shop GTranslate|Tantum Translate|Translate & Currency Converter
hatchful,31,16,15,4.61,97.0,AfterSell Post Purchase Upsell|UpliftHero — One Click Upsell|Catch Marketplace Integration
hats,178,107,71,4.35,104.0,ThisNew|Apliiq ‑ Print On Demand|BF Size Charts & Size Guides
header,168,81,87,4.49,478.0,All Announcement Bars & Banner|Simple Header Bar|Insert code Header & Footer
heatmap,0,8,14,4.07,192.0,Lucky Orange Heatmaps & Replay|Replay Live Session Recordings|Reactflow Recordings & Heatmap
heat map,106,41,65,4.02,95.0,Lucky Orange Heatmaps & Replay|Reactflow Recordings & Heatmap|HeatMap by Webyze
header bar,249,164,85,4.59,81.0,Simple Header Bar|Header Bar ‑ Top Bar|Elegant Header Bars
help center,269,142,127,4.76,185.0,Easy FAQ | Help Center Support|FREE product FAQ | Help center|HelpCenter | FAQ & HelpDesk
help,3101,1650,1451,4.66,712.0,Easy FAQ | Help Center Support|FREE product FAQ | Help center|HelpCenter | FAQ & HelpDesk
hextom,33,20,13,4.75,1413.0,Free Shipping Bar|Ultimate Sales Boost|Quick Announcement Bar
hide paypal,70,18,52,3.57,129.0,Hide PayPal in Cart|CoverUp ‑ Hide Paypal button|HideOut
hide price,247,84,163,4.78,52.0,Request Quote & Hide Prices|Request a Quote & Hide Prices|Request a Quote & Hide Prices
holiday,172,89,83,4.83,1299.0,Super Effects ‑ Holiday Boost|Women's Day & Holidays Effects|Gratisfaction
home page,463,217,246,4.77,1309.0,DataCue: Personalized Homepage|Buy Me ‑ Buy Button|Shogun Landing Page Builder
hotjar,0,6,7,4.56,299.0,Hotjar Install|Hotjar 1‑click install|Hotjar Install by Enkomion
hover,109,54,55,4.77,829.0,"Hover Image Slider, Quick View|Second Image On Hover|Product Back Image On Hover"
html,235,113,122,4.51,675.0,SEO HTML Sitemap|HTML Popup|Code Customizer
hubspot,54,30,24,4.73,227.0,"HubSpot|Pop Up, Email & Exit Pop Ups|HubSpot Integration by Groove"
hulk,110,58,52,4.7,252.0,Hulk Mobile App Builder|Contact Us Form with Captcha|Stackable Discounts
hulk apps,829,392,437,4.48,512.0,Infinite Product Options|Free Trust Badge Master|Contact Us Form with Captcha
hurrify,0,4,16,4.26,46.0,Hurrify ‑ Countdown Timer|Scarcity: Cart Countdown Timer|Scarcity: Low Stock! Countdown
hurry,0,5,6,4.35,113.0,Hurry Up ‑ Countdown Timer|Ultimate Scarcity Pro|Buy Me ‑ Buy Button
hypervisual,0,0,1,4.9,118.0,Hypervisual Page Builder
icons,328,166,162,4.73,51.0,Guarantees & Features Icons|Product Description Icons|Custom Payment Icons
icon,329,166,163,4.73,51.0,Guarantees & Features Icons|Product Description Icons|Custom Payment Icons
image,1211,634,577,4.78,437.0,SEO Suite: Image Optimizer|TinyIMG SEO & Image Optimizer|Bulk Image Edit ‑ Image SEO
image optimizer,253,131,122,4.25,408.0,SEO Suite: Image Optimizer|TinyIMG SEO & Image Optimizer|Image Optimizer + Compression
image compression,185,89,96,3.96,551.0,Image Optimizer + Compression|Image Optimizer|SEO Image Optimizer+Page Speed
images,1211,634,577,4.81,439.0,SEO Suite: Image Optimizer|TinyIMG SEO & Image Optimizer|Bulk Image Edit ‑ Image SEO
image slider,236,114,122,4.73,53.0,"Hover Image Slider, Quick View|Image Slider ‑ EA |POWR Image Slider & Carousel"
image gallery,238,118,120,4.33,112.0,Image Gallery + Video ‑ EA|Cozy Image Gallery|Product Image Gallery & Zoom
image seo,351,168,183,4.28,656.0,Bulk Image Edit ‑ Image SEO|Image Optimizer|Magic Image SEO Optimizer
image zoom,187,90,97,4.49,281.0,Product Image Gallery & Zoom|Magic Zoom Plus|Ultimate Image Zoom
import,1535,843,692,4.53,108.0,Store Importer|Multichannel Importer|eBay Professional Importer
importify,0,6,6,4.71,243.0,Importify ‑ Easy Dropshipping|Reviews Importify | Q & A|Editorify ‑ Product Reviews
import reviews,502,275,227,4.64,934.0,Ryviu Product Reviews App & QA|Editorify ‑ Product Reviews|AliExpress Reviews Free App
improved contact form,608,321,287,4.66,285.0,Improved Contact Form|Form Builder ‑ Contact Form|Contact Us Form ‑ Contact Form
import products,1481,733,748,4.58,342.0,Stock Sync ‑ Inventory Update|Ali Orders AliExpress Dropship|Kopy ‑ Copy products
infinite options,214,110,104,4.84,572.0,Infinite Options|Product Infinite Options|EZ Infinite Options & Variants
influencer,180,113,67,4.69,287.0,Dovetale: Influencer Marketing|linkr ‑ Influencer Marketing|Acorn: Reward Your Influencers
infinite,79,37,42,4.73,472.0,Infinite Options|Infinite Product Options|Product Infinite Options
infusionsoft,0,4,13,4.61,171.0,Connect My Sales|MailMunch ‑ Email Popup|ViralSweep Giveaways Contests
infinite scroll,47,21,26,4.65,252.0,INFINITE SCROLL & Load More|Infy Scroller|Scroll Freely
inkfrog,0,2,0,4.35,208.0,"eBay Connect|Accounting, Tax & Data Reports"
inkthreadable,0,2,0,4.1,32.0,Inkthreadable|Spin Wheel Pop Ups ‑ SmashPops
instagram,362,208,154,4.69,608.0,"Instafeed ‑ Instagram Feed|Instafeed, Instagram Feed Shop|Facebook & Instagram AutoPostr"
